
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
32,2337087,82537,0,8229313,10.029
32,2332133,81988,0,8206465,9.990
32,2332255,81336,0,8206048,9.911
32,2318627,73982,0,8161422,9.064
32,2322201,72046,0,8177578,8.810
32,2343305,79952,0,8250559,9.690
32,2335601,80390,0,8219329,9.780
32,2328893,89994,0,8189826,10.988
32,2310252,74622,0,8126562,9.182
32,2311389,71676,0,8129977,8.816
32,Avg,2327174,78852,0,8189707,9.626

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
64,6745130,86642,0,17473202,4.958
64,6759188,102700,1,17518152,5.862
64,6752604,94473,0,17495174,5.399
64,6738145,82516,0,17443068,4.730
64,6741133,86323,0,17458262,4.944
64,6753574,93423,0,17493652,5.340
64,6739174,85535,0,17446787,4.902
64,6759367,88829,0,17521085,5.069
64,6740982,86309,0,17455446,4.944
64,6749829,96870,1,17491030,5.538
64,Avg,6747912,90362,.200,17479585,5.168

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
128,40987262,350989,7,88744972,3.955
128,40989984,345688,8,88771491,3.894
128,40987962,355247,8,88761966,4.002
128,40988242,351594,6,88748794,3.961
128,40985112,349271,7,88738028,3.935
128,40979346,345071,6,88730307,3.888
128,40983044,344840,6,88748343,3.885
128,40982153,344857,6,88721694,3.886
128,40980260,351727,6,88717313,3.964
128,40982245,351923,6,88724148,3.966
128,Avg,40984561,349120,6.600,88740705,3.933

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
256,310071131,2222537,64,645450826,3.443
256,310014582,2212775,51,645227457,3.429
256,310019057,2214421,54,645244775,3.431
256,309935505,2212567,52,644892315,3.430
256,309938565,2223253,51,644895439,3.447
256,310014656,2214439,53,645224653,3.432
256,309933342,2220914,52,644882255,3.443
256,309938227,2222180,52,644904091,3.445
256,310007761,2212764,54,645200601,3.429
256,309933143,2219829,53,644877692,3.442
256,Avg,309980596,2217567,53.600,645080010,3.437

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
512,2443571648,17133295,454,5045683279,3.395
512,2443475317,17108703,409,5045316267,3.391
512,2443337981,17097917,397,5044740687,3.389
512,2442720183,17082878,382,5042241414,3.387
512,2442720908,17084067,379,5042262892,3.388
512,2443308031,17088601,394,5044624013,3.387
512,2442825099,17097706,411,5042685680,3.390
512,2443511269,17205122,436,5045433036,3.410
512,2443553354,17237284,444,5045600123,3.416
512,2443019336,17141613,423,5043484535,3.398
512,Avg,2443204312,17127718,412.900,5044207192,3.395

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
831,10397313390,72642963,1804,21422395541,3.390
831,10397262639,72620691,1685,21422187341,3.389
831,10400418195,72838512,1762,21434769634,3.398
831,10400471457,72810969,1785,21434996263,3.396
831,10397272270,72597260,1691,21422191655,3.388
831,10400264112,72798031,1736,21434104103,3.396
831,10397267389,72601201,1712,21422165992,3.389
831,10397265875,72619633,1692,21422161425,3.389
831,10397375556,72641383,1739,21422645532,3.390
831,10401117293,73146902,1925,21437540472,3.412
831,Avg,10398602817,72731754,1753.100,21427515795,3.393

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
1024,19430973675,136184022,3801,40018659437,3.403
1024,19438042674,137126969,4205,40046573196,3.424
1024,19437490206,137118667,4172,40044352289,3.424
1024,19431634547,136298565,4226,40021260135,3.405
1024,19436260793,137023516,3582,40039418866,3.422
1024,19435508448,136774929,3335,40036348768,3.416
1024,19429518024,135790914,3185,40012685081,3.393
1024,19429521648,135763439,3179,40012701483,3.393
1024,19429818303,135870177,3958,40013914709,3.395
1024,19438628308,137158193,4774,40048539329,3.424
1024,Avg,19433739662,136510939,3841.700,40029445329,3.409

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
2048,155103035622,1149193645,34668,319264163419,3.599
2048,155109889834,1159990674,35753,319291090519,3.633
2048,155029923623,1141904644,28583,318975367712,3.579
2048,155041353122,1147241226,29552,319021188071,3.596
2048,155080066814,1155550204,28397,319172137989,3.620
2048,155037503659,1145142473,28854,319005315997,3.589
2048,155082714233,1143911835,29475,319182067521,3.583
2048,155035581650,1134738905,28732,318997537816,3.557
2048,155082994655,1156439133,30620,319182581718,3.623
2048,155039543088,1149188004,30493,319013426492,3.602
2048,Avg,155064260630,1148330074,30512.700,319110487725,3.598
