
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
32,2338317,122544,0,8526810,14.371
32,2246934,87081,0,8107675,10.740
32,2252046,76868,0,8132775,9.451
32,2263736,81419,0,8170229,9.965
32,2261543,86059,0,8162063,10.543
32,2240182,73486,0,8081531,9.093
32,2244507,84742,0,8099428,10.462
32,2257877,84626,0,8143022,10.392
32,2265407,85911,0,8181895,10.500
32,2252514,84056,0,8122839,10.348
32,Avg,2262306,86679,0,8172826,10.586

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
64,6154724,87507,0,17005381,5.145
64,6156670,98622,0,17013157,5.796
64,6161089,90104,0,17030586,5.290
64,6161629,88413,0,17034420,5.190
64,6183382,87789,0,17113116,5.129
64,6159959,84257,0,17025870,4.948
64,6170280,98161,0,17058341,5.754
64,6156639,87057,0,17016112,5.116
64,6178159,105663,1,17090319,6.182
64,6179554,106691,1,17097215,6.240
64,Avg,6166208,93426,.200,17048451,5.479

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
128,36264600,348517,7,85040088,4.098
128,36265712,352586,7,85045999,4.145
128,36271788,351379,6,85060566,4.130
128,36272184,348910,5,85061598,4.101
128,36270050,353438,5,85050910,4.155
128,36265973,345209,5,85047362,4.059
128,36256794,346828,6,85007508,4.079
128,36261142,346019,5,85029068,4.069
128,36256316,345917,5,85006791,4.069
128,36259857,352972,5,85008579,4.152
128,Avg,36264441,349177,5.600,85035846,4.105

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
256,272190911,2232513,61,615416928,3.627
256,272242386,2212618,47,615641888,3.594
256,272190175,2215762,45,615415349,3.600
256,272239719,2214404,46,615630876,3.596
256,272192799,2219773,44,615426198,3.606
256,272195160,2213101,44,615431343,3.596
256,272186415,2215193,44,615396137,3.599
256,272244108,2215948,47,615648175,3.599
256,272246222,2215813,46,615661714,3.599
256,272184848,2215272,45,615391285,3.599
256,Avg,272211274,2217039,46.900,615505989,3.601

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
512,2141148624,17234091,501,4808417284,3.584
512,2141688748,17213298,485,4810728158,3.578
512,2141767728,17276905,499,4811045897,3.591
512,2141864520,17251384,508,4811430589,3.585
512,2141700394,17274903,455,4810765467,3.590
512,2141847843,17221914,454,4811267013,3.579
512,2141696091,17212312,458,4810565234,3.578
512,2141671665,17273882,458,4810659358,3.590
512,2141961201,17278973,450,4812038154,3.590
512,2142703683,17282126,502,4814356945,3.589
512,Avg,2141805049,17251978,477.000,4811127409,3.585

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
831,9120910675,73181271,1862,20455970120,3.577
831,9120670231,73140427,1756,20455829799,3.575
831,9118036335,73069245,1835,20445018323,3.573
831,9118606665,73187386,1978,20447160151,3.579
831,9119844750,72911674,1751,20451812750,3.565
831,9120243984,73185544,1706,20453970880,3.578
831,9123777147,73240255,1764,20466725282,3.578
831,9118542740,72765173,1663,20446887592,3.558
831,9120119038,72844034,1697,20453511955,3.561
831,9120112091,72829490,1701,20453482775,3.560
831,Avg,9120086365,73035449,1771.300,20453036962,3.570

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
1024,17020460622,136551454,3283,38159113444,3.578
1024,17022011715,137281912,3654,38165230452,3.597
1024,17014817489,136521067,4293,38136105438,3.579
1024,17021265522,136633737,3612,38162080269,3.580
1024,17013613534,136012832,3374,38131539641,3.566
1024,17013615698,136059071,3449,38131546315,3.568
1024,17022444910,137222822,3561,38166492520,3.595
1024,17013980137,136162424,3585,38132977673,3.570
1024,17020701862,137008504,3466,38159754913,3.590
1024,17013656098,136022634,3425,38131763543,3.567
1024,Avg,17017656758,136547645,3570.200,38147660420,3.579

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
2048,135751118872,1145865577,26082,304128053223,3.767
2048,135765099987,1155019297,27684,304180916603,3.797
2048,135727380554,1144954712,26971,304025556139,3.765
2048,135759662669,1160055323,26713,304165416325,3.813
2048,135755521043,1151079744,29170,304141523408,3.784
2048,135719264168,1140001773,25229,303994776478,3.750
2048,135755582820,1144988224,26689,304142361122,3.764
2048,135749128099,1138286965,26464,304117165386,3.742
2048,135747955194,1139972860,26403,304113613793,3.748
2048,135712754098,1132566282,25879,303970753459,3.725
2048,Avg,135744346750,1145279075,26728.400,304098013593,3.765
