
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
32,2552768,87020,0,8939620,9.734
32,2510921,94000,0,8737255,10.758
32,2460430,76754,0,8525451,9.002
32,2453541,74073,0,8484508,8.730
32,2455357,75970,0,8492002,8.946
32,2460798,84607,0,8504203,9.948
32,2465778,82713,0,8526705,9.700
32,2447518,73251,0,8461088,8.657
32,2441952,72973,0,8437908,8.648
32,2443999,74637,0,8444287,8.838
32,Avg,2469306,79599,0,8555302,9.296

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
64,7787206,150362,1,19833567,7.581
64,7792175,146418,1,19856849,7.373
64,7777435,114794,0,19811081,5.794
64,7762899,114611,0,19745992,5.804
64,7788301,121299,0,19842676,6.113
64,7790398,145200,0,19852142,7.314
64,7762331,113608,0,19743821,5.754
64,7788545,145565,1,19840193,7.336
64,7771615,110911,1,19784392,5.605
64,7767778,114830,0,19771108,5.807
64,Avg,7778868,127759,.400,19808182,6.448

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
128,49289206,2592438,11,107421622,24.133
128,49321964,2174490,14,107567725,20.215
128,49318421,2158253,11,107568216,20.064
128,49351723,2608121,9,107712804,24.213
128,49293994,2544751,9,107442183,23.684
128,49290012,2158201,9,107437356,20.087
128,49308241,2574706,9,107510439,23.948
128,49301088,2157717,9,107489513,20.073
128,49284330,2157655,9,107414378,20.087
128,49297917,2599208,8,107459702,24.187
128,Avg,49305689,2372554,9.800,107502393,22.069

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
256,376720670,16951627,131,795181855,21.317
256,376881002,16986597,144,795927491,21.341
256,376754699,16935306,135,795313460,21.293
256,377101275,16942523,154,796709423,21.265
256,376739904,16936959,150,795250528,21.297
256,377201877,17017825,163,797112305,21.349
256,377131516,17017587,176,797033170,21.351
256,377240284,17054275,148,797408446,21.387
256,377252446,17022882,136,797458986,21.346
256,376933664,16995636,147,796118240,21.348
256,Avg,376995733,16986121,148.400,796351390,21.329

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
512,2978794947,134978792,1215,6249540517,21.598
512,2979247538,135014346,1226,6251343976,21.597
512,2980925269,135139578,1072,6257979853,21.594
512,2980849208,134876618,1035,6257641911,21.553
512,2978365263,134875796,1004,6247739292,21.587
512,2978280959,134871016,1096,6247332355,21.588
512,2980925453,134891540,1095,6257868191,21.555
512,2980660783,134867153,1046,6256800699,21.555
512,2978276226,134867475,1075,6247320302,21.588
512,2978274517,134876424,1070,6247310922,21.589
512,Avg,2979460016,134925873,1093.400,6252087801,21.580

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
831,12689272617,647353207,4372,26579532120,24.355
831,12698260619,646981955,4200,26615090873,24.308
831,12698136642,646935075,4207,26614585629,24.307
831,12698835357,646733235,4290,26617293751,24.297
831,12698690427,646990708,4310,26616765970,24.307
831,12698429502,646858192,4229,26615764221,24.303
831,12689239500,647438157,4192,26579350477,24.358
831,12689242151,647593553,4053,26579360068,24.364
831,12689251229,647570182,4098,26579396890,24.363
831,12698048451,646709560,4219,26614232363,24.299
831,Avg,12694740649,647116382,4217.000,26601137236,24.326

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
1024,23753899637,1080294091,16355,49801671602,21.691
1024,23719249152,1081726074,17056,49664831891,21.780
1024,23719254597,1081772150,16783,49664844087,21.781
1024,23755295918,1080406412,17026,49807164452,21.691
1024,23719243317,1081725742,16999,49664864897,21.780
1024,23757098814,1083011441,17208,49813915264,21.741
1024,23719265261,1081850070,17148,49664895183,21.782
1024,23758152049,1083706364,17505,49818294079,21.753
1024,23760280690,1081059787,17889,49826694560,21.696
1024,23719247176,1082044863,17643,49664822392,21.786
1024,Avg,23738098661,1081759699,17161.200,49739199840,21.748

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
2048,189362531813,13787786211,187568,396214594297,34.798
2048,189363752533,13787412576,192914,396217593263,34.797
2048,189784604733,13937263294,190218,397870821822,35.029
2048,189807588208,13876945893,198019,397960173580,34.870
2048,189787773569,13863972841,192065,397880280471,34.844
2048,189428581237,13930084416,201748,396481508249,35.134
2048,189476425507,13933220059,202966,396675972600,35.124
2048,189836849278,14010287335,203968,398081607940,35.194
2048,189421913264,13833142562,204956,396454244310,34.892
2048,189804032833,13941999293,199050,397946727582,35.034
2048,Avg,189607405297,13890211448,197347.200,397178352411,34.971
