
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
32,1995682,99317,0,7546100,13.161
32,2166828,95888,0,8372079,11.453
32,1973455,77812,0,7457680,10.433
32,1997612,83522,0,7553432,11.057
32,1983971,85144,0,7494445,11.360
32,1973803,77279,0,7462196,10.356
32,1978175,84157,0,7480049,11.250
32,1987925,83139,0,7507611,11.073
32,1975773,77816,0,7471725,10.414
32,1983987,84702,0,7494889,11.301
32,Avg,2001721,84877,0,7584020,11.185

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
64,3841624,99688,0,11516954,8.655
64,3826478,92635,0,11459379,8.083
64,3825583,91583,0,11455881,7.994
64,3859262,100182,0,11588172,8.645
64,3834638,100931,0,11484395,8.788
64,3815758,88481,0,11415403,7.751
64,3841190,94998,0,11512307,8.251
64,3814740,90982,0,11412371,7.972
64,3828502,98655,0,11469059,8.601
64,3838343,99631,0,11498651,8.664
64,Avg,3832611,95776,0,11481257,8.340

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
128,16996542,384434,5,39028178,9.850
128,16977472,366005,4,38956249,9.395
128,16995664,385057,3,39022288,9.867
128,16972187,363673,3,38934867,9.340
128,16971116,365628,3,38936627,9.390
128,16971838,368403,3,38938882,9.461
128,16990183,385003,4,38997798,9.872
128,16994557,376540,3,39016015,9.650
128,16991955,385837,4,39005988,9.891
128,16976264,365476,4,38957782,9.381
128,Avg,16983777,374605,3.600,38979467,9.609

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
256,115314181,2373017,35,240389975,9.871
256,115245503,2340203,29,240083488,9.747
256,115263841,2309577,33,240184890,9.615
256,115239613,2338618,28,240064633,9.741
256,115239971,2337563,28,240062093,9.737
256,115255197,2293328,32,240151224,9.549
256,115235296,2331733,29,240040873,9.713
256,115249752,2292322,32,240131032,9.546
256,115249654,2289950,32,240129300,9.536
256,115232693,2335838,29,240034641,9.731
256,Avg,115252570,2324214,30.700,240127214,9.678

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
512,884414796,17995679,347,1801990320,9.986
512,883761380,18363900,284,1799313557,10.206
512,884190796,18474095,358,1800945579,10.257
512,884052022,18384299,334,1800393876,10.211
512,884365542,18397218,367,1801578355,10.211
512,884430888,18134812,326,1802032884,10.063
512,884018255,18371378,308,1800265270,10.204
512,884440665,18454286,310,1802124789,10.240
512,884378721,18450594,313,1801853347,10.239
512,884395938,18354961,318,1801714630,10.187
512,Avg,884244900,18338122,326.500,1801221260,10.180

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
831,3754794022,80253039,1171,7614449092,10.539
831,3754201481,80175543,1125,7611486230,10.533
831,3754460231,80041827,1193,7611802111,10.515
831,3752725994,79933320,1210,7605273905,10.510
831,3754306207,75635855,1190,7611832618,9.936
831,3754167531,80194199,1154,7611242196,10.536
831,3752119217,79761587,1098,7602986735,10.490
831,3752104884,79753700,1099,7602920826,10.489
831,3752103762,79740898,1108,7602913364,10.488
831,3754983101,79622258,1425,7614480444,10.456
831,Avg,3753596643,79511222,1177.300,7608938752,10.449

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
1024,6956513364,144196187,2126,14068053115,10.249
1024,6957075502,142572808,2229,14071264249,10.132
1024,6956202381,143442971,1969,14067715748,10.196
1024,6956847065,142798064,2184,14070342838,10.148
1024,6955111525,143932580,2413,14062749592,10.235
1024,6954449887,143832788,2386,14060292405,10.229
1024,6958302861,144531171,2518,14076254865,10.267
1024,6960798830,144157332,2381,14084436917,10.235
1024,6959111806,144613270,2417,14081008610,10.270
1024,6956906806,143899758,2045,14070459364,10.227
1024,Avg,6957132002,143797692,2266.800,14071257770,10.218

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
2048,55212388792,1143642175,14915,111309249791,10.274
2048,55219001854,1143539818,15096,111343805110,10.270
2048,55216211420,1140077137,14593,111329790048,10.240
2048,55218363271,1145855672,14794,111339678423,10.291
2048,55206298776,1143272731,14866,111283117502,10.273
2048,55215846145,1136448538,15399,111325187543,10.208
2048,55233749766,1144679926,15117,111390141455,10.276
2048,55234720626,1144528145,16069,111394348519,10.274
2048,55246709669,1141970613,16143,111439170598,10.247
2048,55228155525,1144243401,15266,111369018110,10.274
2048,Avg,55223144584,1142825815,15225.800,111352350709,10.262
