
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
32,2109091,88964,0,7779481,11.435
32,2130196,93678,0,7861276,11.916
32,2104206,76888,0,7757904,9.910
32,2121635,76767,0,7825929,9.809
32,2106061,76000,0,7769524,9.781
32,2121921,84156,0,7823871,10.756
32,2123392,82634,0,7833622,10.548
32,2109284,75297,0,7783813,9.673
32,2102879,76190,0,7751661,9.828
32,2127278,82252,0,7850063,10.477
32,Avg,2115594,81282,0,7803714,10.413

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
64,4958149,215919,1,14106205,15.306
64,4940669,145633,0,14044095,10.369
64,4954529,130070,0,14093611,9.229
64,4976245,155625,0,14183523,10.972
64,4938902,145987,0,14035138,10.401
64,4953372,160671,1,14099494,11.395
64,4959543,158195,0,14113979,11.208
64,4955034,144692,0,14093240,10.266
64,4933307,147241,0,14011155,10.508
64,4936534,146708,0,14026990,10.458
64,Avg,4950628,155074,.200,14080743,11.011

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
128,26181588,2223258,15,60412926,36.801
128,26183889,2213726,6,60427464,36.634
128,26178369,2214734,6,60399976,36.667
128,26165058,2204369,6,60353996,36.523
128,26184530,2218512,6,60426120,36.714
128,26185202,2213174,5,60429250,36.624
128,26171198,2210808,6,60384552,36.612
128,26165275,2207905,5,60353031,36.583
128,26165565,2206938,6,60355520,36.565
128,26170002,2206636,6,60376375,36.548
128,Avg,26175067,2212006,6.700,60391921,36.627

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
256,189869293,17051972,75,414265377,41.161
256,189744900,17040612,86,413755300,41.185
256,189751450,17050610,90,413786393,41.206
256,189755048,17053756,86,413800817,41.212
256,189751576,17046418,96,413785725,41.196
256,189925095,17055217,83,414493061,41.147
256,189750920,17038945,89,413783460,41.178
256,189920952,17054287,85,414475012,41.146
256,189753274,17042093,92,413789805,41.185
256,189758976,17048891,85,413818431,41.198
256,Avg,189798148,17048280,86.700,413975338,41.181

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
512,1485457561,135580238,712,3205450108,42.296
512,1485325394,135766499,702,3204946038,42.361
512,1485275676,135775058,683,3204753325,42.366
512,1484891535,135646987,705,3202977933,42.350
512,1483943901,135635023,709,3199394973,42.393
512,1484819245,135643230,780,3202719789,42.352
512,1485315000,135490872,679,3204881347,42.276
512,1485285521,135606115,676,3204794140,42.313
512,1485512026,135821599,707,3205724073,42.368
512,1486489448,135682204,691,3209025774,42.281
512,Avg,1485231530,135664782,704.400,3204466750,42.335

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
831,6335776326,98943077,2188,13642606256,7.252
831,6334505814,100938490,2127,13637724258,7.401
831,6331834310,99127468,2178,13628537044,7.273
831,6331767116,101829467,2175,13628254134,7.471
831,6334533541,101173078,2137,13637798488,7.418
831,6332329113,101240965,2053,13629475045,7.428
831,6330927870,98225195,1896,13624842660,7.209
831,6327234723,97754398,1944,13610166882,7.182
831,6330914365,97871923,1899,13624827167,7.183
831,6330861031,101035668,1890,13624615494,7.415
831,Avg,6332068420,99813972,2048.700,13628884742,7.323

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
1024,11777247744,1082534254,4485,25322472442,42.749
1024,11768779634,1084644958,4395,25288902526,42.890
1024,11777318145,1084263777,4542,25322778784,42.817
1024,11769018953,1084863998,4382,25289920278,42.897
1024,11778693507,1085750861,4966,25328311938,42.867
1024,11782237492,1086211084,6140,25342323101,42.861
1024,11783431717,1086326898,5988,25347464000,42.857
1024,11788095709,1085185362,5096,25362183175,42.787
1024,11786107101,1085088246,4684,25354659553,42.796
1024,11777112483,1085527576,4533,25322082594,42.868
1024,Avg,11778804248,1085039701,4921.100,25328109839,42.838

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
2048,93791912036,8675656055,34074,201302692427,43.097
2048,93839405586,8657397436,34251,201486247794,42.967
2048,93838332386,8656747932,33920,201481619552,42.965
2048,93778594487,8676224603,33997,201247075526,43.112
2048,93787423115,8675766217,34408,201280089464,43.102
2048,93778569628,8675695005,33745,201246535275,43.109
2048,93838971764,8659799744,34083,201484143950,42.980
2048,93778507202,8675556564,34218,201246045011,43.109
2048,93842385280,8657134649,34272,201497618414,42.963
2048,93778445237,8675099553,33943,201246098222,43.106
2048,Avg,93805254672,8668507775,34091.100,201351816563,43.051
