
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
32,2094364,98814,0,7773184,12.712
32,2071434,83499,0,7691656,10.855
32,2091085,85427,0,7761574,11.006
32,2070677,75699,0,7688321,9.845
32,2069590,76590,0,7680689,9.971
32,2085738,82383,0,7738749,10.645
32,2069475,73857,0,7679835,9.617
32,2080854,85703,0,7716957,11.105
32,2075069,78588,0,7705417,10.199
32,2072983,73798,0,7699944,9.584
32,Avg,2078126,81435,0,7713632,10.553

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
64,4721798,154215,1,13552543,11.379
64,4719277,150752,0,13542359,11.131
64,4702771,138327,0,13483378,10.259
64,4720995,147375,0,13547705,10.878
64,4713240,140915,0,13532653,10.412
64,4710084,144393,0,13518445,10.681
64,4702497,142955,0,13486122,10.600
64,4726150,148720,0,13568827,10.960
64,4702849,140593,0,13486315,10.424
64,4721406,154607,0,13549430,11.410
64,Avg,4714106,146285,.100,13526777,10.813

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
128,24458438,2216244,8,56386566,39.304
128,24471853,2211504,6,56459430,39.169
128,24461453,2219417,6,56398687,39.352
128,24450881,2208034,5,56373445,39.167
128,24452125,2209250,6,56376664,39.187
128,24471979,2216566,5,56442879,39.270
128,24441917,2208149,5,56334328,39.197
128,24449470,2212542,5,56352433,39.262
128,24445446,2208573,5,56352183,39.192
128,24449844,2210179,6,56371359,39.207
128,Avg,24455340,2212045,5.700,56384797,39.230

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
256,176703831,17042979,70,383287288,44.465
256,176902711,17066615,82,384105672,44.432
256,176700776,17045727,84,383275268,44.473
256,176705529,17049609,81,383299547,44.481
256,176702680,17041429,82,383285326,44.461
256,176882467,17066387,88,384019069,44.441
256,176704531,17049584,78,383290328,44.482
256,176906490,17056891,81,384121175,44.404
256,176868274,17050772,83,383962299,44.407
256,176699336,17049233,80,383271418,44.483
256,Avg,176777662,17051922,80.900,383591739,44.452

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
512,1374323588,135283500,637,2944476773,45.944
512,1373163070,135257670,613,2939851133,46.008
512,1373069426,135267125,679,2939480991,46.017
512,1374421254,135418702,693,2944866481,45.984
512,1374548997,135414312,700,2945358612,45.975
512,1374316338,135408166,649,2944460365,45.987
512,1372978687,135222267,595,2939102701,46.008
512,1373072936,135260878,663,2939494148,46.015
512,1372922543,135226885,613,2938875370,46.013
512,1373027222,135234907,608,2939309092,46.009
512,Avg,1373584406,135299441,645.000,2941527566,45.996

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
831,5849208896,647571435,3343,12492915198,51.835
831,5849011794,646219972,3423,12492115499,51.730
831,5846015213,648383659,3450,12480712036,51.950
831,5842210215,646071901,2772,12465263636,51.829
831,5841619721,647088505,2772,12462855788,51.921
831,5847514539,647560486,2764,12486325328,51.861
831,5847503263,647394245,2786,12486201407,51.848
831,5847819966,646124241,2833,12487428990,51.741
831,5841625018,646918419,2721,12462882631,51.907
831,5846983399,647070418,2702,12484116388,51.831
831,Avg,5845951202,647040328,2956.600,12480081690,51.845

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
1024,10857320089,1082322008,9468,23151514915,46.749
1024,10863201998,1083946308,10155,23175389387,46.771
1024,10879172150,1083821486,10870,23237107736,46.641
1024,10859720147,1082831847,9846,23161246742,46.751
1024,10862715562,1083453052,10083,23173383367,46.754
1024,10878333203,1083944115,10914,23233887301,46.653
1024,10879265556,1084259270,10922,23237709382,46.659
1024,10860101744,1082731822,9966,23162726968,46.744
1024,10878344406,1083505797,10884,23233809136,46.634
1024,10861243548,1082839918,9392,23167332666,46.739
1024,Avg,10867941840,1083365562,10250.000,23193410760,46.709

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
2048,86650007537,14015143553,126764,184938013133,75.782
2048,86664945082,14031280602,128519,184997492646,75.845
2048,86658478594,14033827618,126789,184970972842,75.870
2048,86396178560,13970345403,127933,183944855967,75.948
2048,86406227533,13979991145,126806,183984530239,75.984
2048,86401447068,13969278375,124132,183965295024,75.934
2048,86644738916,14018515469,124565,184914064266,75.810
2048,86375478515,13966461328,125049,183860188003,75.962
2048,86395441767,13969526910,127971,183941273122,75.945
2048,86648288214,14026877854,123787,184927769093,75.850
2048,Avg,86524123178,13998124825,126231.500,184444445433,75.893
