
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
32,2595418,82029,0,31.605
32,2601022,87298,0,33.562
32,2592682,84843,0,32.724
32,2583768,76328,0,29.541
32,2599024,86676,0,33.349
32,2586147,75968,0,29.374
32,2592794,81073,0,31.268
32,2595587,82607,0,31.825
32,2582589,79227,0,30.677
32,2593671,80779,0,31.144
32,Avg,2592270,81682,0,31.506

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
64,8902968,84076,1,9.443
64,8927187,91129,1,10.208
64,8927903,91151,1,10.209
64,8909633,78854,1,8.850
64,8913565,80701,1,9.053
64,8912371,82006,1,9.201
64,8913356,81068,1,9.095
64,8933675,87473,1,9.791
64,8926873,89477,1,10.023
64,8911394,84915,1,9.528
64,Avg,8917892,85085,1.000,9.540

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
128,58489604,165295,12,2.826
128,58481587,175820,12,3.006
128,58488950,167192,9,2.858
128,58475867,173392,10,2.965
128,58491924,165704,11,2.832
128,58482485,166391,9,2.845
128,58486294,172834,9,2.955
128,58484446,165819,9,2.835
128,58483269,173110,9,2.959
128,58479452,167366,10,2.861
128,Avg,58484387,169292,10.000,2.894

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
256,450749428,1029686,90,2.284
256,450583181,1066266,82,2.366
256,450577821,1053177,82,2.337
256,450585549,1058385,83,2.348
256,450720014,1030131,84,2.285
256,450592725,1056426,81,2.344
256,450706643,1019766,82,2.262
256,450699656,1014751,81,2.251
256,450586979,1073856,91,2.383
256,450579763,1061727,82,2.356
256,Avg,450638175,1046417,83.800,2.321

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
512,3571750655,83059614,697,23.254
512,3571721952,83223467,686,23.300
512,3571677843,82945438,679,23.223
512,3571585724,83032177,671,23.247
512,3570475936,71187050,684,19.937
512,3570483600,83624862,674,23.421
512,3570478063,71427400,670,20.004
512,3571631901,83192402,676,23.292
512,3570476401,83497234,687,23.385
512,3571638114,83246778,677,23.307
512,Avg,3571192018,80843642,680.100,22.637

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
831,15226056936,26419269,2837,1.735
831,15230636227,26793913,2609,1.759
831,15226068025,26398198,2765,1.733
831,15226050220,26391768,2697,1.733
831,15230794181,26829853,2665,1.761
831,15230702840,26821011,2647,1.760
831,15226056847,26402874,2817,1.734
831,15230723453,26808533,2656,1.760
831,15230605011,26795966,2625,1.759
831,15226050627,26413533,2827,1.734
831,Avg,15228374436,26607491,2714.500,1.746

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
1024,28472500558,674353842,5721,23.684
1024,28462046713,679204139,5715,23.863
1024,28472190402,672585466,5678,23.622
1024,28462050970,681103442,5814,23.930
1024,28472368486,674505467,5728,23.689
1024,28472262640,675169809,5708,23.713
1024,28472485505,674588820,5776,23.692
1024,28462047315,679359363,5704,23.868
1024,28462049591,681168182,5729,23.932
1024,28472500490,674547412,5762,23.691
1024,Avg,28468250267,676658594,5733.500,23.768

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
2048,227324223081,5478276978,49229,24.098
2048,227324234869,5575641419,48773,24.527
2048,227324268541,5477922225,48655,24.097
2048,227412726040,5574590540,48538,24.513
2048,227324258910,5599773844,48717,24.633
2048,227324223800,5478998427,48454,24.102
2048,227415145871,5571819794,49319,24.500
2048,227324243947,5565362937,48832,24.482
2048,227413949772,5572126297,48481,24.502
2048,227414053735,5863163970,49145,25.781
2048,Avg,227360132856,5575767643,48814.300,24.523
