
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
32,2561571,78702,0,8643470,9.105
32,2640011,83179,0,9009129,9.232
32,2575241,83035,0,8688127,9.557
32,2574459,76400,0,8694932,8.786
32,2569104,78858,0,8662524,9.103
32,2557650,74827,0,8628112,8.672
32,2557421,72178,0,8627748,8.365
32,2568125,83511,0,8658032,9.645
32,2553738,75034,0,8609899,8.714
32,2570060,82605,0,8666791,9.531
32,Avg,2572738,78832,0,8688876,9.071

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
64,8725208,92105,1,21385229,4.306
64,8704932,81962,1,21313563,3.845
64,8710653,77624,1,21339136,3.637
64,8744624,81673,1,21467864,3.804
64,8707583,78770,1,21326207,3.693
64,8722174,86932,1,21371770,4.067
64,8705401,77342,1,21316495,3.628
64,8710017,81385,1,21333922,3.814
64,8729656,88792,1,21410690,4.147
64,8714167,79914,1,21354619,3.742
64,Avg,8717441,82649,1.000,21361949,3.868

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
128,56893617,156336,13,120094927,1.301
128,56901596,157478,11,120126638,1.310
128,56898184,154433,10,120112901,1.285
128,56898138,154637,9,120115138,1.287
128,56900048,143669,9,120135869,1.195
128,56893369,143554,9,120104962,1.195
128,56901543,153006,9,120129568,1.273
128,56894258,156595,9,120097169,1.303
128,56889946,140512,9,120091883,1.170
128,56899730,141203,9,120128896,1.175
128,Avg,56897042,150142,9.700,120113795,1.249

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
256,438037013,6804396,86,897908962,7.578
256,438061095,6363700,83,898003448,7.086
256,437907854,7096384,86,897380588,7.907
256,437900848,6991087,80,897349801,7.790
256,437900196,7093597,79,897345088,7.905
256,438008955,6991618,80,897795987,7.787
256,438032747,6760308,81,897890544,7.529
256,437894065,7092848,84,897319084,7.904
256,437904364,6662323,83,897363369,7.424
256,437899319,7066128,77,897341356,7.874
256,Avg,437954645,6892238,81.900,897569822,7.678

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
512,3470269261,130016527,663,7072475692,18.383
512,3470204543,131010208,653,7072234956,18.524
512,3469380969,132104096,767,7068986802,18.687
512,3470496465,132246444,730,7073374894,18.696
512,3469326374,132102851,749,7068757850,18.688
512,3469399124,132103665,784,7069062025,18.687
512,3470476170,132245151,732,7073303606,18.696
512,3470292546,129793755,687,7072554697,18.351
512,3469981793,131884427,709,7071400739,18.650
512,3470146469,132172418,670,7071956567,18.689
512,Avg,3469997371,131567954,714.400,7071410782,18.605

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
831,14792485462,12192831,2819,30097715459,.405
831,14796666861,12593046,2586,30114038296,.418
831,14791549633,11948602,2403,30093773513,.397
831,14796368081,12276507,2520,30112969597,.407
831,14791525790,11939957,2411,30093707385,.396
831,14792579516,12161826,2508,30098000378,.404
831,14796556165,12671505,2546,30113736346,.420
831,14796074410,12529104,2441,30111675207,.416
831,14797216099,12366581,2693,30116367917,.410
831,14791940720,12089563,2724,30095483713,.401
831,Avg,14794296273,12276952,2565.100,30104746781,.407

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
1024,27652200787,994378535,6420,56245131038,17.679
1024,27663993332,993140985,6484,56291497738,17.642
1024,27651127969,994927123,5741,56240701762,17.690
1024,27662236204,995864832,5931,56284447161,17.693
1024,27661368888,997208190,5760,56280907874,17.718
1024,27661962288,995352913,5793,56283359789,17.684
1024,27652368639,994546436,5813,56245751136,17.682
1024,27651920456,995491976,5989,56244058691,17.699
1024,27657614020,996087221,6116,56267073102,17.702
1024,27662987092,997065219,6140,56287548029,17.713
1024,Avg,27657777967,995406343,6018.700,56267047632,17.690

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
2048,220852728267,8010837475,48503,448923818139,17.844
2048,220935895955,7994740100,48854,449249415041,17.795
2048,220841693232,8000427486,50598,448879376039,17.823
2048,220947038205,8009030574,55650,449292743942,17.825
2048,220860039077,8033925401,47533,448953835393,17.894
2048,220880575822,8003199133,47474,449037145776,17.823
2048,220924933958,7925264306,48896,449205135410,17.642
2048,220832421770,7995896893,48611,448841548104,17.814
2048,220832455294,8050912073,45139,448841906863,17.937
2048,220917418377,7960445529,45032,449175368755,17.722
2048,Avg,220882519995,7998467897,48629.000,449040029346,17.811
