Matrix size,Run,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)

# Matrix size 2
2,1,1627350,75249,0
2,2,1745575,84858,0
2,3,1646205,77357,0
2,4,1644112,81154,0
2,5,1643455,82523,0
2,6,1643474,78655,0
2,7,1644940,71891,0
2,8,1648586,85696,0
2,9,1636101,75094,0
2,10,1632704,74240,0
2,Avg,1651250,78671,0

# Matrix size 4
4,1,1652194,84858,0
4,2,1639836,81994,0
4,3,1632760,75227,0
4,4,1632176,73735,0
4,5,1649145,73059,0
4,6,1627575,73379,0
4,7,1649365,81727,0
4,8,1651353,76060,0
4,9,1640262,74906,0
4,10,1638747,73652,0
4,Avg,1641341,76859,0

# Matrix size 8
8,1,1647576,74456,0
8,2,1671604,78310,0
8,3,1666302,81527,0
8,4,1647704,70405,0
8,5,1649473,74074,0
8,6,1666580,82476,0
8,7,1649732,70881,0
8,8,1656638,72566,0
8,9,1666815,80026,0
8,10,1651949,71898,0
8,Avg,1657437,75661,0

# Matrix size 16
16,1,1784732,85427,0
16,2,1786304,77299,0
16,3,1767542,73580,0
16,4,1779639,82841,0
16,5,1766394,73621,0
16,6,1788105,82665,0
16,7,1783663,84387,0
16,8,1784146,79754,0
16,9,1788086,72915,0
16,10,1777240,72432,0
16,Avg,1780585,78492,0

# Matrix size 32
32,1,2646817,75289,0
32,2,2639656,74329,0
32,3,2646028,73523,0
32,4,2648147,75590,0
32,5,2658821,80176,0
32,6,2648130,75098,0
32,7,2659783,82237,0
32,8,2653236,76411,0
32,9,2665277,84997,0
32,10,2644759,74192,0
32,Avg,2651065,77184,0

# Matrix size 64
64,1,9408881,93409,1
64,2,9402828,97209,1
64,3,9411499,88620,1
64,4,9405575,88098,1
64,5,9422652,89575,1
64,6,9394228,88477,1
64,7,9389774,88556,1
64,8,9393691,88883,1
64,9,9415875,94643,1
64,10,9386536,88295,1
64,Avg,9403153,90576,1.000

# Matrix size 128
128,1,62338578,287999,15
128,2,62335620,285353,11
128,3,62324137,305703,10
128,4,62325864,303487,10
128,5,62322734,303907,10
128,6,62326804,305850,10
128,7,62324951,298861,10
128,8,62352313,287164,11
128,9,62325273,305210,10
128,10,62327071,283987,10
128,Avg,62330334,296752,10.700

# Matrix size 256
256,1,481474225,1767395,96
256,2,481461886,1777487,88
256,3,481319914,1780414,94
256,4,481355729,1799433,112
256,5,481591455,1832662,93
256,6,481344467,1799995,95
256,7,481672028,1807518,125
256,8,481279422,1785229,91
256,9,481345715,1789205,96
256,10,481599102,1806601,93
256,Avg,481444394,1794593,98.300

# Matrix size 512
512,1,3815925098,20509870,780
512,2,3817313049,20242165,732
512,3,3817229756,20232386,718
512,4,3817276993,20189115,726
512,5,3815925270,20637109,731
512,6,3815922934,20736029,748
512,7,3817464159,20342809,793
512,8,3816965569,20951171,800
512,9,3817416669,20677681,769
512,10,3818528299,21308444,846
512,Avg,3816996779,20582677,764.300

# Matrix size 1024
1024,1,30449692942,178353999,7856
1024,2,30434858276,177786707,7644
1024,3,30434253774,174980155,7602
1024,4,30427804367,172564893,6950
1024,5,30437535180,167792677,6757
1024,6,30437547665,169529680,6723
1024,7,30425281924,173052396,6813
1024,8,30425287762,173292916,6829
1024,9,30437517480,168072969,6796
1024,10,30425294787,171147791,6744
1024,Avg,30433507415,172657418,7071.400

# Matrix size 2048
2048,1,243142809367,1812385758,63339
2048,2,243028933473,1829645878,63077
2048,3,243143824315,1750322237,63642
2048,4,243028906556,1793411149,63242
2048,5,243142944672,1727917780,63476
2048,6,243028915761,1828696972,63106
2048,7,243142277208,1826969910,63269
2048,8,243142017238,1732661702,63260
2048,9,243028902821,1832140561,63101
2048,10,243028925203,1828566820,63142
2048,Avg,243085845661,1796271876,63265.400
