
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
32,2565362,76929,0,29.987
32,2577965,82207,0,31.888
32,2573478,77902,0,30.271
32,2559714,76107,0,29.732
32,2577617,84989,0,32.971
32,2572094,79689,0,30.982
32,2552008,75092,0,29.424
32,2586581,81677,0,31.577
32,2565862,77029,0,30.020
32,2555328,75628,0,29.596
32,Avg,2568600,78724,0,30.644

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
64,8741587,88646,1,10.140
64,8737838,93586,1,10.710
64,8742706,93350,1,10.677
64,8734372,90062,1,10.311
64,8730766,84344,1,9.660
64,8734023,89809,1,10.282
64,8719994,83430,1,9.567
64,8730032,86072,1,9.859
64,8718600,83164,1,9.538
64,8736115,89153,1,10.205
64,Avg,8732603,88161,1.000,10.094

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
128,56751516,198980,10,3.506
128,56772167,181716,13,3.200
128,56754052,170348,11,3.001
128,56745843,174468,12,3.074
128,56753413,174278,11,3.070
128,56750017,170926,9,3.011
128,56745018,177099,9,3.120
128,56742977,160326,9,2.825
128,56743098,177042,9,3.120
128,56747413,169765,9,2.991
128,Avg,56750551,175494,10.200,3.091

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
256,435831620,15502887,93,35.570
256,435830815,15514910,84,35.598
256,435944269,15400946,84,35.327
256,435948121,15381754,83,35.283
256,435947531,14333081,84,32.877
256,435824446,15457632,83,35.467
256,435826687,14460985,86,33.180
256,435836675,15265305,84,35.025
256,435987607,15388000,93,35.294
256,435825750,15149335,88,34.760
256,Avg,435880352,15185483,86.200,34.838

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
512,3453218632,132059107,733,38.242
512,3453080767,131937249,685,38.208
512,3453092115,131995872,685,38.225
512,3453118327,132121090,694,38.261
512,3453214321,132102022,736,38.254
512,3451928687,132210595,736,38.300
512,3451926322,132557227,685,38.400
512,3451936709,128789916,672,37.309
512,3451933315,131827483,681,38.189
512,3453073112,131937737,691,38.208
512,Avg,3452652230,131753829,699.800,38.159

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
831,14718415868,10167933,2418,.690
831,14714096736,9986790,2383,.678
831,14718415604,10348007,2418,.703
831,14718170135,10144080,2376,.689
831,14714099370,9976112,2400,.677
831,14714104420,9975740,2368,.677
831,14714116189,9941615,2396,.675
831,14718244215,10154277,2391,.689
831,14714104009,9994910,2397,.679
831,14718368499,10153710,2406,.689
831,Avg,14716213504,10084317,2395.300,.684

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
1024,27511575613,1022937788,5658,37.182
1024,27523553002,1020916995,6212,37.092
1024,27521732534,1019649289,5580,37.048
1024,27511525200,1022119112,5447,37.152
1024,27521399837,1019422651,5521,37.041
1024,27521773005,1020457394,5654,37.078
1024,27511526374,1023055593,5475,37.186
1024,27511517866,1022836670,5496,37.178
1024,27521311454,1019424344,5501,37.041
1024,27521476592,1019235213,5522,37.034
1024,Avg,27517739147,1021005504,5606.600,37.103

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
2048,219665090655,8174971668,55974,37.215
2048,219665064964,8175977718,53743,37.220
2048,219665034174,8158149608,53346,37.139
2048,219665055837,8161394719,53314,37.153
2048,219769653660,8248897006,57992,37.534
2048,219665044236,8151196371,52200,37.107
2048,219778792831,8252973440,60759,37.551
2048,219770964462,8225331274,58941,37.426
2048,219666254610,8151887288,53954,37.110
2048,219666485809,8191899321,55838,37.292
2048,Avg,219697744123,8189267841,55606.100,37.274
