
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
32,1752385,81841,0,46.702
32,1739074,72520,0,41.700
32,1750659,83763,0,47.846
32,1748328,78118,0,44.681
32,1729313,75072,0,43.411
32,1732240,72734,0,41.988
32,1758660,80671,0,45.870
32,1730691,74826,0,43.234
32,1768321,76216,0,43.100
32,1749603,80971,0,46.279
32,Avg,1745927,77673,0,44.481

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
64,2247554,104621,0,46.548
64,2261285,127917,0,56.568
64,2237162,103957,0,46.468
64,2244781,104085,0,46.367
64,2257393,120885,0,53.550
64,2242006,104811,0,46.748
64,2258129,129963,0,57.553
64,2249531,128005,0,56.902
64,2244352,103923,0,46.304
64,2247024,102393,0,45.568
64,Avg,2248921,113056,0,50.257

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
128,5686417,2231815,2,392.481
128,5691214,2233756,1,392.492
128,5674027,2224499,1,392.049
128,5670576,2221483,1,391.756
128,5697827,2231624,1,391.662
128,5694622,2225221,1,390.758
128,5670296,2222880,1,392.021
128,5688312,2227490,1,391.590
128,5689694,2224200,1,390.917
128,5664855,2221575,1,392.168
128,Avg,5682784,2226454,1.100,391.789

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
256,30384910,17084868,29,562.281
256,30372640,17065044,23,561.855
256,30373007,17089801,29,562.664
256,30380805,17075635,28,562.053
256,30363652,17077457,27,562.430
256,30352605,17082140,30,562.789
256,30370854,17076668,28,562.271
256,30351319,17073185,28,562.518
256,30389257,17077413,28,561.955
256,30359316,17074354,28,562.409
256,Avg,30369836,17077656,27.800,562.322

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
512,217578734,135645253,244,623.430
512,217517119,135362725,219,622.308
512,217482659,135553963,208,623.286
512,217098177,135247600,203,622.978
512,217493128,141187846,240,649.160
512,217102512,135244366,201,622.951
512,217585624,141473617,241,650.197
512,217114622,135266981,208,623.021
512,217105624,135280750,205,623.110
512,217586668,136296998,241,626.403
512,Avg,217366486,136656009,221.000,628.684

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
831,900111112,648603015,786,720.581
831,901532644,648793939,822,719.656
831,900057001,648575384,767,720.593
831,900108290,648625240,964,720.608
831,901587171,647847291,755,718.563
831,901421818,647818345,707,718.662
831,900902631,648771629,800,720.135
831,901776056,648941181,902,719.625
831,901184624,648806259,888,719.948
831,900982214,648806485,927,720.110
831,Avg,900966356,648558876,831.800,719.848

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
1024,1670677843,1138939340,3375,681.722
1024,1676040719,1153644977,3204,688.315
1024,1675249848,1165989289,3071,696.009
1024,1668691242,1144570793,3086,685.909
1024,1668702133,1130757712,3029,677.627
1024,1674820383,1132128161,2972,675.969
1024,1668695285,1133302750,3004,679.155
1024,1675214958,1143115026,3002,682.369
1024,1675840359,1153737814,3306,688.453
1024,1675116571,1150795550,3071,686.994
1024,Avg,1672904934,1144698141,3112.000,684.252

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
2048,13112214117,14044110911,59044,1071.070
2048,13114641518,14047029477,59375,1071.095
2048,13258364526,14079005950,61150,1061.896
2048,13253529812,14070794914,59962,1061.663
2048,13254952615,14077412139,61515,1062.049
2048,13160381598,14059068821,62096,1068.287
2048,13116544645,14040646458,58502,1070.453
2048,13121717518,14047061846,60008,1070.520
2048,13251146857,14070587933,59782,1061.839
2048,13258589359,14076708246,61694,1061.704
2048,Avg,13190208256,14061242669,60312.800,1066.057
