
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
32,2461508,91294,0,37.088
32,2463839,96642,0,39.224
32,2453040,76808,0,31.311
32,2460676,85011,0,34.547
32,2446682,75751,0,30.960
32,2463907,83276,0,33.798
32,2440899,75674,0,31.002
32,2456534,76629,0,31.193
32,2460797,85925,0,34.917
32,2462570,87090,0,35.365
32,Avg,2457045,83410,0,33.940

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
64,7790254,156053,1,20.031
64,7790794,154116,1,19.781
64,7783421,125609,1,16.138
64,7772910,127838,1,16.446
64,7788029,114477,1,14.699
64,7790077,151359,1,19.429
64,7793107,157451,1,20.203
64,7786047,150670,1,19.351
64,7770485,112996,1,14.541
64,7776184,118441,0,15.231
64,Avg,7784130,136901,.900,17.585

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
128,49297710,2550494,14,51.736
128,49304518,2159268,11,43.794
128,49296200,2608236,10,52.909
128,49295514,2536384,10,51.452
128,49300987,2160536,12,43.823
128,49316751,2159109,10,43.780
128,49289248,2156811,9,43.758
128,49300270,2160104,10,43.815
128,49301678,2606921,10,52.876
128,49296610,2159191,11,43.799
128,Avg,49299948,2325705,10.700,47.174

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
256,376723316,16938399,131,44.962
256,377117992,16976441,152,45.016
256,376725080,16969461,152,45.044
256,377053380,16941566,138,44.931
256,377094307,16947771,153,44.943
256,376730516,16970624,147,45.047
256,376723386,16963020,154,45.027
256,377096416,16983411,153,45.037
256,376742095,16938635,130,44.960
256,376755994,16968752,142,45.039
256,Avg,376876248,16959808,145.200,45.000

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
512,2981542825,134957547,1290,45.264
512,2978366474,134882487,1117,45.287
512,2981140638,134891012,1164,45.248
512,2978293436,134887422,1105,45.290
512,2978282637,134882158,1160,45.288
512,2981538614,134936806,1350,45.257
512,2981148471,134877179,1269,45.243
512,2978276197,134890572,1075,45.291
512,2980983072,134871363,1229,45.243
512,2981129249,134902309,1257,45.252
512,Avg,2980070161,134897885,1201.600,45.266

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
831,12689315735,647740670,4680,51.046
831,12698397876,646765868,4393,50.932
831,12689232696,647652419,4282,51.039
831,12698173159,646819853,4305,50.938
831,12689248610,647613939,4328,51.036
831,12689233926,647655613,4381,51.039
831,12698425735,646704938,4362,50.927
831,12689231015,647382004,4394,51.018
831,12699144055,647055804,4659,50.952
831,12689342286,647462862,4415,51.024
831,Avg,12692974509,647285397,4419.900,50.995

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
1024,23719271254,1081440637,16524,45.593
1024,23719248679,1081423478,16514,45.592
1024,23719531746,1081317686,16183,45.587
1024,23757625692,1079986699,18293,45.458
1024,23719307032,1081190416,15633,45.582
1024,23756724499,1079846907,18137,45.454
1024,23757223763,1080071174,18021,45.462
1024,23757186691,1080031628,18147,45.461
1024,23720160652,1081541593,16088,45.595
1024,23719646582,1081103649,15264,45.578
1024,Avg,23734592659,1080795386,16880.400,45.536

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
2048,189385950123,13930235786,198306,73.554
2048,189889993091,13869398616,207603,73.039
2048,189430356985,13943005902,198907,73.604
2048,189442259094,13889804605,201936,73.319
2048,189860308409,13966978436,201532,73.564
2048,189886195491,13904138069,204284,73.223
2048,189416640170,13866088051,198800,73.204
2048,189903178121,13977405196,208355,73.602
2048,189880718649,13974086200,204165,73.594
2048,189458507371,13876598658,201840,73.243
2048,Avg,189655410750,13919773951,202572.800,73.394
