Prefetching,EmbedTableSize,PrefetchDistance,CacheLevel,L1D_misses,L2_misses,LLC_misses,SW_prefetch_requests,ExecTime_ms
off,1000000,4,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,4,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,4,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,4,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,4,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,4,L2,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,4,L2,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,4,L2,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,4,L2,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,4,L2,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,4,LLC,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,4,LLC,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,4,LLC,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,4,LLC,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,4,LLC,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,L2,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,L2,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,L2,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,L2,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,L2,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,LLC,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,LLC,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,LLC,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,LLC,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,1000000,16,LLC,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,2000000,4,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,2000000,4,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,2000000,4,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,2000000,4,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,2000000,4,L1,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,2000000,4,L2,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
off,2000000,4,L2,NA,eventsyntaxerror:'..oad-misses,NA,NA,0.000
